Sad_Binary,Sex_Label,Safety_Binary,Alcohol_Binary
1,Male,0,0
1,Female,0,1
0,Female,0,0
0,Female,0,0
0,Male,0,1
0,Male,0,0
0,Male,0,1
0,Male,0,0
0,Female,0,0
1,Female,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,1,0
1,Male,0,0
1,Male,0,0
0,Female,0,0
1,Female,0,0
1,Female,0,0
0,Female,0,1
0,Female,0,0
0,Female,0,0
1,Female,0,1
0,Female,0,0
0,Female,0,1
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Male,0,1
1,Male,0,0
0,Male,0,0
0,Male,0,1
0,Male,0,1
1,Male,0,0
1,Male,0,1
0,Male,0,1
0,Female,0,1
1,Female,0,1
1,Female,1,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
1,Male,0,1
0,Male,0,0
1,Male,1,1
1,Male,0,1
0,Male,0,0
0,Male,0,0
0,Male,0,0
1,Male,0,1
0,Male,0,0
0,Female,0,0
1,Female,0,0
0,Female,0,0
0,Female,0,0
1,Female,0,0
0,Female,0,1
0,Female,0,1
0,Female,0,0
0,Female,0,1
0,Female,0,1
0,Female,0,1
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Female,0,0
0,Female,0,1
1,Male,0,0
0,Male,0,0
1,Male,0,0
0,Female,0,0
0,Female,0,0
0,Male,0,0
0,Male,0,1
0,Female,0,1
0,Female,0,0
1,Female,0,0
0,Male,0,1
1,Male,0,0
0,Male,0,0
0,Male,0,1
0,Male,0,1
1,Male,0,1
0,Female,0,0
0,Female,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Female,0,0
0,Female,0,0
0,Male,0,0
1,Male,0,0
0,Male,0,0
1,Female,0,0
0,Female,0,0
0,Male,0,0
0,Male,0,0
1,Male,0,1
0,Female,0,0
0,Female,0,0
0,Male,0,0
0,Female,0,1
0,Female,0,0
1,Female,0,0
0,Female,0,0
0,Female,0,0
1,Female,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,1
0,Male,0,0
1,Male,0,1
0,Male,0,0
1,Male,0,1
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Male,0,0
0,Male,0,0
1,Male,0,1
0,Male,0,0
0,Male,1,1
0,Male,0,0
1,Male,0,0
1,Male,0,1
0,Male,0,1
1,Male,0,1
0,Male,0,0
0,Male,0,1
0,Female,0,1
1,Female,1,1
0,Female,0,0
1,Female,0,0
0,Female,0,1
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,1
0,Female,0,0
1,Male,0,1
0,Male,0,1
0,Male,0,0
0,Male,0,0
0,Male,0,0
1,Female,0,1
0,Female,0,0
0,Male,0,0
0,Male,0,1
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Female,0,1
0,Female,0,0
1,Female,0,0
1,Female,0,1
0,Female,0,0
1,Male,0,0
0,Male,0,1
1,Female,0,0
0,Female,0,1
0,Female,0,0
0,Male,0,0
0,Male,0,1
0,Male,0,1
0,Male,0,0
0,Female,0,0
0,Female,0,0
1,Male,0,1
1,Male,0,0
0,Male,0,0
0,Male,0,1
1,Male,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,1
0,Female,0,1
0,Male,0,1
0,Male,0,1
0,Male,0,1
0,Male,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Male,0,0
0,Male,0,0
1,Male,0,1
0,Male,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Male,0,1
1,Male,0,0
0,Male,0,1
0,Male,0,1
1,Female,0,0
1,Female,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,1
0,Male,0,0
0,Male,0,1
0,Female,0,0
0,Female,0,1
0,Female,0,0
0,Female,0,1
0,Female,0,1
0,Female,0,0
0,Female,0,1
1,Female,0,0
0,Female,0,0
1,Female,0,1
0,Female,0,1
0,Female,0,1
0,Female,0,0
0,Female,0,0
0,Female,0,0
1,Female,0,0
0,Female,0,1
0,Male,0,0
0,Male,0,0
0,Male,0,0
1,Male,0,0
1,Male,0,1
0,Male,1,0
1,Male,0,1
1,Male,1,1
1,Female,0,1
0,Male,0,0
1,Male,0,0
0,Male,0,0
0,Male,0,0
1,Male,1,0
0,Male,0,1
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,1
0,Male,0,0
1,Male,0,0
1,Male,0,1
0,Male,0,0
1,Male,0,0
1,Male,0,1
0,Female,0,1
0,Female,0,0
0,Female,0,0
1,Female,0,1
0,Female,1,0
0,Female,0,1
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Male,0,0
0,Female,1,0
0,Female,0,1
0,Female,0,0
0,Female,1,0
1,Male,0,1
1,Male,0,0
0,Male,0,1
0,Male,0,0
0,Male,0,0
1,Male,0,1
1,Male,0,0
0,Female,0,0
0,Female,0,0
0,Male,0,0
1,Male,1,1
1,Male,0,0
1,Male,0,0
0,Male,0,1
0,Male,0,0
0,Male,0,0
0,Male,0,1
1,Male,0,0
0,Female,0,0
0,Female,0,0
0,Female,1,1
1,Female,1,1
0,Female,0,0
0,Female,0,0
1,Female,0,0
0,Female,1,1
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Male,0,0
0,Female,0,0
0,Female,0,0
0,Male,0,1
1,Male,1,1
0,Male,1,1
0,Male,0,0
0,Female,0,1
0,Female,0,0
0,Female,0,1
0,Female,0,1
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,1
0,Female,0,1
0,Female,1,0
1,Male,0,1
0,Male,0,1
0,Male,0,0
1,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
1,Male,1,0
1,Male,0,1
0,Male,0,0
0,Female,0,0
1,Male,0,0
0,Male,0,0
0,Male,0,0
1,Male,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
1,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,1
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,1
0,Female,0,0
0,Female,0,0
0,Female,0,0
1,Female,0,0
0,Female,0,0
1,Female,0,0
0,Female,0,0
0,Female,0,1
0,Female,0,1
0,Female,0,1
1,Male,0,1
0,Male,0,0
1,Male,0,0
0,Male,0,0
1,Male,0,1
0,Male,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,1
0,Female,0,0
0,Female,0,1
0,Female,0,1
0,Male,0,0
1,Male,0,1
0,Male,0,0
0,Female,0,1
0,Female,0,1
0,Female,0,0
1,Female,0,0
0,Male,0,1
0,Male,0,1
0,Male,0,0
1,Male,0,0
0,Male,0,0
1,Male,0,1
1,Male,0,0
0,Female,0,1
0,Male,0,0
1,Male,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
1,Male,0,0
1,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Female,0,0
0,Female,0,1
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
1,Male,0,0
0,Female,0,0
1,Female,0,0
0,Female,0,0
0,Female,0,0
1,Male,0,1
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,1
0,Male,0,0
0,Male,0,0
1,Male,0,0
1,Male,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,1
0,Female,0,0
0,Female,0,0
0,Male,0,0
1,Male,0,1
0,Male,0,1
1,Male,0,0
0,Male,0,1
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,1
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
1,Female,0,0
1,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Male,0,0
1,Male,1,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Female,0,0
1,Female,0,1
1,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,1
0,Female,0,1
0,Male,0,0
0,Male,0,0
1,Male,0,1
1,Male,0,0
0,Male,0,0
0,Male,0,0
1,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Female,0,1
0,Female,0,0
0,Female,0,1
1,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,1
0,Female,0,1
0,Female,0,1
0,Female,0,0
0,Female,0,1
0,Female,0,0
0,Female,0,0
0,Female,0,1
0,Female,0,0
0,Female,0,0
0,Female,0,1
0,Male,0,0
1,Male,0,0
0,Male,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,1
0,Female,0,0
0,Female,0,0
1,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
1,Female,0,1
0,Female,0,0
0,Female,0,0
0,Female,0,1
0,Male,0,0
0,Male,0,0
1,Male,0,1
0,Male,0,1
1,Male,0,0
1,Male,0,0
1,Male,0,1
0,Male,0,1
0,Male,0,0
1,Male,0,1
0,Male,0,0
0,Male,0,0
0,Male,0,0
1,Male,0,0
0,Male,0,0
1,Male,0,0
1,Male,0,0
0,Male,0,0
0,Male,0,0
1,Male,0,0
0,Male,0,0
1,Female,0,1
0,Female,0,1
1,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
1,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
1,Female,0,0
0,Male,0,0
0,Male,0,0
1,Male,0,0
0,Male,0,0
0,Female,0,0
0,Female,0,0
1,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
1,Female,0,1
0,Female,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,1
0,Male,0,0
1,Male,0,0
0,Male,0,0
0,Male,0,1
1,Male,0,1
0,Female,0,0
0,Female,0,1
0,Female,0,0
0,Female,0,0
0,Male,0,1
0,Male,0,1
0,Male,0,0
0,Male,0,1
0,Male,0,0
0,Female,0,0
1,Female,1,0
1,Female,0,1
0,Female,0,1
0,Male,0,0
0,Male,0,0
1,Male,0,0
0,Male,0,0
0,Female,0,0
0,Male,0,1
0,Male,1,0
0,Male,0,0
1,Male,0,0
1,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,1,0
1,Male,0,0
0,Male,0,0
0,Male,0,0
1,Male,0,1
1,Male,0,1
0,Male,0,0
0,Male,0,0
0,Female,0,1
1,Female,0,1
0,Female,0,1
1,Male,0,1
0,Female,0,1
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,1,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,1
0,Female,0,0
0,Male,0,0
0,Male,0,1
0,Female,0,0
0,Female,0,0
0,Male,0,0
0,Male,0,1
1,Male,0,0
0,Male,0,0
0,Male,0,1
0,Female,0,0
0,Female,0,0
0,Male,0,0
0,Male,0,0
0,Female,0,1
0,Male,0,0
0,Male,0,1
1,Male,0,1
0,Male,0,0
1,Male,0,0
0,Female,0,0
0,Female,0,0
1,Female,0,1
0,Female,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,1
0,Male,0,0
0,Male,0,1
1,Male,0,1
0,Male,0,0
1,Male,0,1
1,Male,0,0
0,Male,0,1
0,Female,1,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
1,Male,0,0
0,Male,0,0
0,Male,0,1
0,Female,0,0
0,Female,0,0
0,Female,0,1
0,Female,0,0
0,Female,0,1
0,Male,0,0
1,Male,0,0
0,Female,0,0
1,Female,1,1
0,Male,0,1
1,Male,0,0
0,Female,0,0
1,Female,0,0
1,Female,0,1
0,Female,0,1
0,Female,0,1
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Male,0,0
0,Male,0,0
1,Male,0,1
1,Male,0,0
0,Female,0,0
0,Female,0,1
0,Female,0,0
0,Female,0,1
0,Female,0,1
0,Female,0,0
1,Female,0,0
1,Male,0,1
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Female,0,0
0,Female,0,1
0,Female,0,0
1,Female,0,0
0,Female,0,0
0,Male,0,1
1,Male,1,0
1,Male,0,0
0,Male,0,0
0,Male,0,1
0,Male,0,0
1,Male,0,0
1,Female,0,0
0,Female,0,0
1,Female,0,0
0,Female,0,0
1,Female,0,0
1,Female,0,1
0,Female,0,0
1,Male,1,0
0,Female,0,0
1,Female,0,0
0,Female,0,0
0,Female,1,0
0,Female,1,0
1,Male,0,1
1,Male,0,0
1,Female,0,0
1,Male,0,1
0,Male,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,1
0,Female,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,1
1,Male,1,0
0,Male,0,1
1,Male,0,1
1,Female,0,1
0,Female,0,0
0,Female,0,0
0,Male,0,0
0,Male,0,0
1,Male,0,0
1,Male,0,1
0,Male,0,0
0,Female,1,0
1,Female,0,0
0,Female,0,0
1,Female,0,0
0,Female,0,0
1,Female,0,0
1,Female,0,0
1,Female,0,0
0,Female,0,0
0,Female,0,1
1,Male,0,0
0,Male,0,0
1,Male,0,0
0,Male,0,0
0,Male,0,1
0,Male,0,0
1,Male,1,0
1,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
1,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
1,Male,0,0
0,Male,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,1
1,Female,0,1
0,Female,0,0
1,Female,0,0
0,Female,0,0
1,Female,0,0
0,Female,0,1
1,Female,0,1
1,Male,0,0
0,Male,0,1
1,Male,0,1
0,Male,0,0
0,Male,0,0
1,Male,0,1
0,Male,0,0
1,Male,0,0
0,Female,0,1
0,Female,0,0
1,Female,0,0
0,Female,0,1
0,Female,0,0
0,Female,0,1
0,Male,0,0
0,Male,0,0
1,Male,0,1
0,Female,0,0
0,Female,0,0
0,Male,0,1
1,Male,0,0
1,Male,0,0
1,Male,0,0
1,Male,0,1
0,Male,0,1
0,Male,0,0
0,Male,0,0
1,Male,0,1
0,Male,0,0
1,Male,0,0
0,Male,0,0
1,Male,0,0
0,Male,0,1
1,Male,0,0
0,Male,0,0
0,Female,0,0
0,Female,0,1
0,Female,0,1
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
1,Male,0,0
0,Male,0,1
1,Male,0,0
1,Female,0,0
0,Female,0,0
0,Female,0,1
1,Female,0,1
0,Female,0,1
0,Female,0,0
0,Female,0,0
1,Male,0,0
1,Male,0,0
1,Male,0,1
0,Male,0,1
1,Male,0,0
0,Male,0,0
0,Female,0,0
0,Female,0,1
1,Female,0,1
0,Female,0,0
1,Female,0,1
0,Female,0,0
0,Female,0,1
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,1
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,1
0,Female,0,0
0,Male,0,1
0,Male,0,0
0,Male,0,1
0,Male,0,0
0,Male,0,1
0,Male,0,0
1,Male,0,1
0,Male,0,0
0,Male,0,0
0,Male,1,1
1,Male,0,1
0,Male,0,0
1,Male,0,0
1,Male,0,1
0,Male,0,1
0,Male,0,1
0,Male,0,1
0,Male,0,0
0,Male,0,0
0,Female,0,1
1,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
1,Female,0,0
1,Female,0,1
0,Female,0,0
0,Female,0,0
1,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
1,Male,0,1
0,Male,0,1
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,1
1,Female,0,0
0,Female,0,0
0,Female,0,0
0,Male,0,0
1,Male,0,1
0,Male,0,0
0,Male,0,0
1,Female,0,0
0,Female,0,1
1,Female,0,0
0,Female,0,0
1,Male,0,0
1,Male,1,1
0,Male,0,0
0,Male,0,0
0,Male,0,1
0,Male,0,0
0,Male,0,0
0,Male,0,0
1,Male,0,1
1,Male,0,0
1,Male,0,0
1,Male,0,0
0,Female,0,0
0,Female,0,1
0,Female,0,0
0,Female,0,1
0,Female,0,1
0,Female,0,1
0,Female,0,1
0,Female,0,1
1,Female,1,0
0,Female,0,0
0,Female,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,1
1,Male,0,1
1,Male,0,1
0,Female,0,1
0,Female,0,1
0,Female,0,0
0,Female,0,0
0,Female,0,0
1,Male,0,0
0,Male,0,1
1,Male,0,0
0,Male,0,1
0,Male,0,0
0,Male,0,0
0,Male,0,1
0,Male,0,0
0,Female,0,1
0,Female,0,0
1,Female,0,0
0,Female,0,0
1,Female,0,1
0,Female,0,0
0,Female,1,1
0,Female,0,1
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,1
0,Male,0,0
0,Male,0,0
0,Female,0,0
1,Male,0,1
0,Female,0,1
0,Female,0,0
0,Female,0,1
1,Male,0,1
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,1
0,Male,0,1
0,Female,0,1
0,Female,0,0
1,Female,0,0
0,Female,0,0
1,Female,0,0
0,Male,0,0
1,Male,0,1
1,Male,0,1
1,Male,0,1
0,Male,0,1
0,Male,0,1
0,Male,0,0
0,Male,0,0
0,Male,0,0
1,Male,0,0
1,Male,0,0
1,Male,0,1
0,Female,0,0
0,Female,0,1
1,Female,0,0
0,Female,0,0
0,Female,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,1
1,Male,0,1
0,Male,0,1
0,Female,0,0
0,Female,0,0
1,Female,0,1
0,Female,0,0
0,Female,0,0
1,Female,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
1,Male,1,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,1
0,Female,0,0
1,Female,0,1
0,Female,0,0
0,Female,0,0
1,Female,0,1
0,Female,0,1
0,Male,0,1
1,Male,0,1
1,Male,0,0
0,Male,0,0
0,Male,0,0
1,Male,1,1
0,Male,0,0
0,Male,0,0
1,Male,0,0
0,Male,0,0
1,Male,0,1
1,Male,1,0
0,Female,0,1
1,Female,0,1
1,Female,1,0
1,Female,0,0
0,Male,0,0
0,Male,0,1
1,Male,0,1
0,Male,0,1
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
1,Male,0,0
1,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,1
1,Male,0,1
0,Female,0,1
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,1
0,Male,0,1
0,Male,0,1
0,Male,0,1
0,Male,0,0
0,Male,0,0
0,Male,0,1
0,Male,0,0
0,Male,0,0
0,Male,0,1
0,Male,1,0
0,Male,0,0
0,Male,0,1
0,Male,0,1
1,Male,0,0
0,Male,0,0
1,Male,0,0
0,Male,0,0
0,Male,0,1
0,Male,0,1
1,Male,0,1
0,Male,0,0
0,Male,0,0
0,Male,0,0
1,Male,0,1
1,Male,0,0
0,Male,0,1
1,Male,1,0
0,Male,0,1
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,1,0
0,Female,0,1
0,Female,0,0
0,Female,0,0
0,Female,0,1
0,Female,0,0
0,Female,0,0
0,Female,0,0
1,Female,0,1
0,Female,0,0
0,Female,0,1
0,Female,0,0
0,Female,0,0
0,Female,0,1
1,Female,0,1
0,Female,0,0
0,Male,0,1
0,Male,0,0
1,Male,0,0
0,Male,0,0
1,Male,0,0
0,Male,0,1
1,Female,0,0
0,Female,0,1
0,Female,0,0
1,Female,0,1
0,Female,0,1
0,Female,0,0
0,Female,0,0
0,Female,0,1
0,Female,0,1
1,Female,1,1
0,Female,0,1
0,Female,0,0
1,Male,0,0
0,Male,0,0
0,Male,0,1
0,Male,0,0
1,Male,0,1
1,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,1
1,Male,0,1
0,Male,0,1
0,Male,0,0
0,Male,0,0
1,Male,0,1
0,Male,0,0
0,Male,0,0
0,Female,0,1
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,1
1,Female,0,0
1,Female,0,0
1,Female,0,0
0,Female,0,1
1,Female,0,0
1,Female,0,1
1,Female,0,0
0,Female,0,1
0,Male,0,1
1,Male,0,1
0,Male,1,0
0,Male,0,0
1,Male,0,1
1,Male,1,1
1,Male,0,0
0,Male,0,0
0,Female,0,0
1,Female,0,0
0,Female,0,0
0,Female,0,0
1,Female,0,1
1,Female,0,1
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,1
0,Male,0,0
1,Male,0,1
0,Male,0,1
0,Male,0,1
1,Male,1,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,1
1,Male,0,0
0,Male,0,0
0,Male,0,1
1,Male,0,0
1,Female,0,1
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,1,0
0,Female,0,1
1,Female,1,0
0,Female,0,0
0,Female,0,0
1,Male,0,0
0,Male,0,0
0,Male,0,1
0,Male,0,0
0,Female,0,1
0,Female,0,0
0,Female,0,1
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Male,0,1
0,Male,0,0
0,Male,0,1
1,Male,0,1
1,Male,0,0
0,Male,0,1
0,Male,0,0
0,Male,0,0
0,Male,0,0
1,Female,0,0
0,Female,0,0
0,Female,0,1
1,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
1,Female,0,0
0,Female,0,0
1,Male,0,1
1,Male,0,1
0,Female,0,0
1,Male,1,1
1,Male,0,1
0,Male,0,1
0,Female,0,1
0,Female,0,1
0,Female,0,0
0,Female,0,1
1,Female,1,1
0,Female,0,0
0,Female,1,0
0,Female,0,0
1,Female,0,0
1,Female,0,0
0,Female,1,0
0,Female,0,0
0,Female,0,1
0,Female,1,1
0,Female,1,1
1,Female,0,0
0,Female,0,1
0,Male,0,1
0,Male,0,0
0,Male,1,1
0,Male,0,1
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,1
0,Male,0,1
0,Male,0,0
0,Male,0,0
1,Male,0,0
1,Male,0,1
0,Male,0,0
1,Male,0,1
1,Male,0,0
1,Male,0,1
0,Male,0,1
0,Male,0,0
0,Male,0,0
1,Male,0,0
0,Male,0,1
1,Female,0,0
1,Female,0,0
0,Female,0,0
0,Female,0,0
1,Female,0,1
0,Female,0,0
0,Female,0,0
1,Female,0,1
1,Female,0,1
0,Female,0,0
0,Female,0,0
0,Female,0,1
0,Female,0,1
0,Female,0,0
0,Female,0,1
0,Male,0,1
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Female,0,0
0,Female,0,0
1,Male,0,1
1,Male,0,0
0,Male,0,0
1,Male,0,1
1,Male,0,0
1,Male,0,0
0,Male,0,1
0,Male,0,0
1,Male,0,1
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,1
0,Male,0,0
0,Male,0,0
1,Male,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
1,Female,0,0
0,Female,0,1
1,Female,0,1
0,Female,0,0
0,Female,0,0
1,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
1,Male,0,0
0,Male,0,1
0,Male,0,0
0,Male,0,0
0,Male,0,1
0,Male,0,0
1,Male,0,0
1,Female,0,0
0,Female,0,0
1,Female,0,0
0,Female,0,0
1,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,1
0,Female,0,0
1,Female,0,1
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,1
1,Male,0,0
1,Male,0,0
0,Male,0,0
0,Male,0,0
1,Male,0,0
0,Male,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,1
1,Female,0,0
0,Female,0,1
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Male,0,0
0,Male,0,0
0,Female,0,0
0,Male,0,1
0,Male,0,0
0,Male,0,1
0,Male,0,0
1,Male,0,0
1,Male,0,0
1,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Male,0,0
0,Male,0,0
1,Male,0,0
1,Male,0,0
0,Male,0,0
1,Male,0,1
1,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
1,Male,0,0
1,Male,0,0
0,Male,0,0
0,Male,0,0
0,Female,0,0
1,Male,0,0
0,Male,0,0
0,Female,0,0
1,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
1,Male,0,0
0,Female,0,0
0,Male,0,0
0,Female,0,0
0,Female,0,0
1,Female,0,0
0,Female,0,0
0,Female,1,0
1,Female,0,1
0,Female,0,1
1,Female,0,0
0,Female,0,1
1,Male,0,0
1,Female,0,0
0,Female,0,0
0,Female,0,0
1,Male,0,1
0,Male,0,1
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Male,0,1
0,Male,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,1
1,Male,1,1
0,Female,0,0
0,Female,0,0
0,Female,0,1
0,Female,0,0
0,Female,0,0
0,Male,0,0
0,Male,0,0
1,Male,0,0
0,Male,0,0
1,Male,0,1
1,Male,0,0
0,Male,0,1
0,Male,0,0
0,Female,0,0
0,Female,0,1
0,Male,0,0
0,Male,0,0
1,Male,0,1
0,Male,0,0
0,Male,0,0
0,Male,0,0
1,Male,0,1
1,Male,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,1
0,Female,0,0
0,Female,0,0
1,Female,0,1
1,Male,0,0
0,Male,0,1
0,Male,0,0
1,Male,0,1
1,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Female,0,1
0,Female,0,1
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
0,Male,0,0
0,Male,0,1
0,Male,0,0
1,Male,0,1
0,Male,0,0
0,Male,0,1
0,Male,0,0
1,Male,0,0
1,Male,0,0
0,Female,0,1
0,Female,0,1
0,Female,0,0
0,Female,0,0
0,Male,0,0
1,Female,0,1
0,Female,0,0
0,Female,0,1
0,Male,1,0
1,Male,0,1
0,Male,0,0
1,Male,0,1
0,Male,0,1
0,Male,0,0
0,Male,0,0
0,Female,0,0
0,Female,0,0
0,Female,0,0
1,Female,0,0
0,Female,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
1,Male,0,0
1,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,0
0,Male,0,1
0,Male,0,0
0,Female,0,0
1,Female,0,1
1,Female,0,1
0,Female,0,0
0,Female,0,1
1,Male,0,0
